지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2)
235,보령,2012-01-05,-4.4,-7.7,-.5,,,,6.4,3.5,20,-9.5,51,68.1,5.9,
235,보령,2012-01-06,-2.2,-7,2.8,1.75,,,5.6,2.8,20,-8.2,45,63.9,6.9,
235,보령,2012-01-07,-4.1,-8.8,1.9,,,,5.4,2.6,20,-10,43,64.8,8.7,
235,보령,2012-01-08,-2.1,-6.7,2.7,,,,5.2,3.1,20,-7.3,50,68.3,4.8,
235,보령,2012-01-09,.1,-3.1,3,.33,,,3.1,2.1,20,-3,70,79.5,0,
235,보령,2012-01-10,.4,-2,3.4,,,,5.4,3.7,50,-7.4,44,56.6,7.9,
235,보령,2012-01-11,-3.4,-7.1,.8,,,,8.7,5.1,360,-11.3,39,54.8,8.4,
235,보령,2012-01-12,-2.1,-6.9,1,3.58,,,6.6,3.9,20,-7.8,51,64.9,6.1,
235,보령,2012-01-13,-.3,-3.5,5.4,,,,6.6,3,50,-6.1,42,66.3,3,
235,보령,2012-01-14,-1.2,-6,3.6,,,,4.5,2.8,20,-7.6,37,63.1,8.6,
235,보령,2012-01-15,-1,-2.6,2.7,,,,6.2,3.9,360,-9.9,32,52.4,3.5,
235,보령,2012-01-16,.1,-5.5,7,,,,4.3,3.1,20,-7.9,34,56.1,8.5,
235,보령,2012-01-17,1.7,-2.3,7.5,,,,4.2,2.1,20,-3,52,71.6,4.9,
235,보령,2012-01-18,1.7,-2.8,6,,,,8.6,4.9,360,-7.5,33,51.8,7.2,
235,보령,2012-01-19,4.2,.6,6.3,13.17,,,6.8,4.7,360,.2,53,75.9,0,
235,보령,2012-01-20,5.6,4.4,7.4,14.08,,,7.9,5.2,20,1.3,63,74.5,0,
235,보령,2012-01-21,2.8,-.1,4.9,13.37,,,7.7,4.2,360,-.3,74,80.1,0,
235,보령,2012-01-22,-4.1,-6.8,-.1,,,,8.5,5.8,340,-11.3,42,57.5,8.2,
235,보령,2012-01-23,-5.6,-8,-2.8,1.67,,,9.9,5.3,20,-14.3,31,51.8,8.4,
235,보령,2012-01-24,-4.8,-9,-1.5,1.92,,,8,5,360,-13,26,55.4,7.5,
235,보령,2012-01-25,-5.7,-9.7,-2.3,6,,,8.6,4.5,20,-11.8,45,63.1,8.6,
235,보령,2012-01-26,-2.5,-10.1,2.7,3,,,7.2,5.3,180,-6.2,62,76.3,3.7,
235,보령,2012-01-27,1.3,-2.2,6.4,2.27,,,8.4,4.6,50,-2.4,52,77,6,
235,보령,2012-01-28,0,-2.9,3.7,,,,12.7,4.8,360,-14.9,13,34.9,8.9,
235,보령,2012-01-29,-1,-4.1,3.2,,,,9.7,5.6,360,-15.6,15,34.3,7.8,
235,보령,2012-01-30,-3.2,-6.7,1.3,,,,8.7,5,360,-16.8,18,34.9,9,
235,보령,2012-01-31,-1.8,-7.7,3.5,8,,,14.8,8.6,20,-7.9,26,65,2.8,
235,보령,2012-02-01,-7.1,-9.5,-2.4,,,,9,5.8,360,-14.1,46,57.5,9.1,
235,보령,2012-02-02,-9,-11,-6,4,,,9.5,5,360,-15.6,44,58.6,8.8,
235,보령,2012-02-03,-5.4,-9.7,-2,2.25,,,6.1,3.9,50,-11.5,50,62.3,8.6,
235,보령,2012-02-04,.5,-3.1,4.1,1.58,,,7,3.5,320,-9.1,23,50,8.5,
235,보령,2012-02-05,0,-3.8,5.9,,,,5.9,3.5,20,-9.4,28,50.6,7.8,
235,보령,2012-02-06,1.9,-2,5.2,,,,4.9,3.7,50,-7,34,51.8,0,
235,보령,2012-02-07,-5,-7.9,2.6,,,,11.7,5.5,340,-13.7,40,50.8,9,
